name,ring,quadrant,isNew,description
IRIS Audio,Trial,Tools,False,"<p>IRIS Audio ist ein AI-gestütztes Online-Tool zur Stimmisolierung und Geräuschunterdrückung. Mehr dazu <a href='https://iris.audio/call-centres'>hier</a>.</p>"
Human Generator,Assess,Tools,False,"<p>Human Generator ist ein AI-gestützter Generator von Menschen. Mehr dazu <a href='https://humangenerator.me/'>hier</a>.</p>"
Let's Enhance,Adopt,Tools,False,"<p>Let's Enhance verbessert und skaliert Bilder ohne Qualitätsverlust. Mehr dazu <a href='https://letsenhance.io/'>hier</a>.</p>"
The Multiverse AI,Assess,Tools,False,"<p>The Multiverse AI verwandelt Selfies in professionelle Porträtfotos. Mehr dazu <a href='https://themultiverse.ai/'>hier</a>.</p>"
StockPhotoAI.net,Assess,Tools,False,"<p>StockPhotoAI.net bietet großartige Stockfotos, die für Sie gemacht wurden. Mehr dazu <a href='https://stockphotoai.net/'>hier</a>.</p>"
FairyTailAI,Assess,Tools,False,"<p>FairyTailAI ist ein personalisierter Gute-Nacht-Geschichten-Generator. Mehr dazu <a href='https://fairytail.ai/'>hier</a>.</p>"
eBank,Assess,Tools,False,"<p>eBank ist ein AI Art Generator und eine AI Art Suchmaschine, in der Sie Millionen von Community-AI-Kunstwerken durchsuchen können. Mehr dazu <a href='https://ebank.com/'>hier</a>.</p>"
Architecture Helper,Assess,Tools,False,"<p>Architecture Helper analysiert jede Gebäudearchitektur und generiert in Sekunden Ihre eigenen benutzerdefinierten Stile. Mehr dazu <a href='https://architecturehelper.com/'>hier</a>.</p>"
VocalReplica,Trial,Tools,False,"<p>VocalReplica ist eine AI-gestützte Isolation von Gesang und Instrumenten für Ihre Lieblingstracks. Mehr dazu <a href='https://vocalreplica.com/'>hier</a>.</p>"
X Headshot,Assess,Tools,False,"<p>X Headshot ist ein professioneller AI-Headshot-Generator. Mehr dazu <a href='https://xheadshot.com/'>hier</a>.</p>"
<!-- Conversational AI Tools //-->
Character.AI,Assess,Tools,False,"<p>Character.AI bietet eine konversationelle AI für offene Gespräche. Mehr dazu <a href='https://beta.character.ai/'>hier</a>.</p>"
ChatGPT (by OpenAI),Adopt,Tools,False,"<p>ChatGPT ist ein konversationelles AI-System, das von großen Sprachmodellen angetrieben wird. Mehr dazu <a href='https://openai.com/chatgpt'>hier</a>.</p>"
Bard (by Google),Assess,Tools,False,"<p>Bard ist ein konversationeller AI-Chat-Service von Google, der auf Informationen aus dem Web zugreifen und diese verarbeiten kann. Mehr dazu <a href='https://bard.google.com/'>hier</a>.</p>"
DoNotPay,Trial,Tools,False,"<p>DoNotPay ist der weltweit erste Roboteranwalt. Mehr dazu <a href='https://donotpay.com/'>hier</a>.</p>"
Replika,Trial,Tools,False,"<p>Replika ist ein AI-Begleiter. Mehr dazu <a href='https://replika.ai/'>hier</a>.</p>"
AICamp,Assess,Tools,False,"<p>AICamp bietet ChatGPT für Teams. Mehr dazu <a href='https://aicamp.ai/'>hier</a>.</p>"
Netwrck,Assess,Tools,False,"<p>Netwrck ist ein AI-Charakter-Chat-Social-Network, das Kunst erzeugt, wenn man "Appears" sagt. Mehr dazu <a href='https://netwrck.com/'>hier</a>.</p>"
Claude,Assess,Tools,False,"<p>Claude ist ein AI-Assistent von Anthropic. Mehr dazu <a href='https://www.anthropic.com/claude'>hier</a>.</p>"
<!-- Design Tools //-->
Interior AI,Trial,Tools,False,"<p>Interior AI bietet Interior-Design-Mockups und virtuelle Inszenierungen. Mehr dazu <a href='https://interiorai.com/'>hier</a>.</p>"
stockimg.ai,Trial,Tools,False,"<p>stockimg.ai bietet AI-gestützte Designs. Mehr dazu <a href='https://stockimg.ai/'>hier</a>.</p>"
Brand Mark,Adopt,Tools,False,"<p>Brand Mark generiert Markenlogos. Mehr dazu <a href='https://brandmark.io/'>hier</a>.</p>"
Magic Eraser,Trial,Tools,False,"<p>Magic Eraser entfernt unerwünschte Elemente aus Bildern. Mehr dazu <a href='https://magiceraser.io/'>hier</a>.</p>"
bigJPG,Assess,Tools,False,"<p>bigJPG erhöht die Bildauflösung. Mehr dazu <a href='https://bigjpg.com/'>hier</a>.</p>"
Profile Pic Maker,Adopt,Tools,False,"<p>Profile Pic Maker erstellt Profilbilder. Mehr dazu <a href='https://pfpmaker.com/'>hier</a>.</p>"
Musicfy,Assess,Tools,False,"<p>Musicfy erstellt AI-Cover Ihrer Lieblingssongs in Sekunden. Mehr dazu <a href='https://musicfy.studio/'>hier</a>.</p>"
Room Reinvented,Trial,Tools,False,"<p>Room Reinvented verwandelt Räume mühelos mit AI, indem es über 30 beeindruckende Innenstile erstellt. Mehr dazu <a href='https://roomreinvented.com/'>hier</a>.</p>"
<!-- eCommerce //-->
Lootgod.com,Trial,Tools,False,"<p>Lootgod.com bietet generative AI für Bekleidung mit Print-on-Demand. Mehr dazu <a href='https://lootgod.com/'>hier</a>.</p>"
<!-- Finance //-->
morpher.com,Assess,Tools,False,"<p>morpher.com bietet eine umfassende AI für die Finanzmarktanalyse und agiert als persönlicher Anlageanalyst. Mehr dazu <a href='https://www.morpher.com/'>hier</a>.</p>"
COUNT,Hold,Tools,False,"<p>COUNT bietet AI-gestützte Buchhaltung für kleine Unternehmen. Mehr dazu <a href='https://www.count.io/'>hier</a>.</p>"
<!-- Education //-->
Anypod,Trial,Tools,False,"<p>Anypod ist eine semantische Suchmaschine für YouTube- und Podcast-Inhalte. Mehr dazu <a href='https://serp.ai/tools/anypod/'>hier</a>.</p>"
Ask Botta,Assess,Tools,False,"<p>Ask Botta ist ein persönlicher Lehrassistent. Mehr dazu <a href='https://askbotta.com/'>hier</a>.</p>"
Podly.ai,Assess,Tools,False,"<p>Podly.ai bietet zusammengefasste Podcasts. Mehr dazu <a href='https://podly.ai/'>hier</a>.</p>"
Lorro,Hold,Tools,False,"<p>Lorro ermöglicht das Üben von Englisch mit einem AI-Tutor. Mehr dazu <a href='https://serp.ai/tools/lorro//'>hier</a>.</p>"
SlidesAI.io,Adopt,Tools,False,"<p>SlidesAI.io ist ein AI-gestütztes Text-zu-Präsentation-Tool, das mit Google Slides funktioniert. Mehr dazu <a href='https://slidesai.io/'>hier</a>.</p>"
Flair,Assess,Tools,False,"<p>Flair ist ein AI-Design-Tool für gebrandete Inhalte. Mehr dazu <a href='https://flair.ai/'>hier</a>.</p>"
Twee,Assess,Tools,False,"<p>Twee bietet AI-gestützte Werkzeuge für Englischlehrer. Mehr dazu <a href='https://twee.com//'>hier</a>.</p>"
Wilco Sierra,Assess,Tools,False,"<p>Wilco Sierra ist eine Plattform, die mit AI Herausforderungen für Softwareingenieure generiert. Mehr dazu <a href='https://trywilco.com/'>hier</a>.</p>"
Yomu,Assess,Tools,False,"<p>Yomu ist ein AI-Schreibassistent für Studenten und Akademiker. Mehr dazu <a href='https://yomu.ai/'>hier</a>.</p>"
PDFPeer,Trial,Tools,False,"<p>PDFPeer ermöglicht es, innerhalb von Sekunden mit jedem PDF zu chatten. Mehr dazu <a href='https://pdfpeer.com/'>hier</a>.</p>"
Sourcely,Assess,Tools,False,"<p>Sourcely ist ein AI-Tool zur Auffindung akademischer Zitate. Mehr dazu <a href='https://sourcely.io/'>hier</a>.</p>"
LangMagic,Assess,Tools,False,"<p>LangMagic ermöglicht das Erlernen von Sprachen durch native Inhalte. Mehr dazu <a href='https://langmagic.io/'>hier</a>.</p>"
Auto Streamer,Assess,Tools,False,"<p>Auto Streamer ermöglicht das Erstellen von Kurswebsites in Minuten, um alles nach Bedarf zu lernen und zu lehren. Mehr dazu <a href='https://autostreamer.com/'>hier</a>.</p>"
SopCreator,Assess,Tools,False,"<p>SopCreator hilft bei der Erstellung von Statements of Purpose mit AI. Mehr dazu <a href='https://sopcreator.com/'>hier</a>.</p>"
StudyX,Assess,Tools,False,"<p>StudyX nutzt AI zur Lösung von Mathematikproblemen und zum Lernen. Mehr dazu <a href='https://studyx.ai/math-solver/'>hier</a>.</p>"
<!-- Developer //-->
Chat Data Prep,Assess,Tools,False,"<p>Chat Data Prep ermöglicht die Datenumwandlung mit einfacher englischer Sprache. Mehr dazu <a href='https://chatdataprep.com/'>hier</a>.</p>"
Codeium,Trial,Tools,False,"<p>Codeium bietet eine kostenlose AI-gestützte Codevervollständigung. Mehr dazu <a href='https://codeium.com/'>hier</a>.</p>"
Ghostwriter (by Replit),Trial,Tools,False,"<p>Ghostwriter von Replit ist ein AI-Paarprogrammierer. Mehr dazu <a href='https://replit.com/ghostwriter'>hier</a>.</p>"
GitHub Copilot,Adopt,Tools,False,"<p>GitHub Copilot ist ein AI-Paarprogrammierer. Mehr dazu <a href='https://github.com/features/copilot'>hier</a>.</p>"
Keploy,Assess,Tools,False,"<p>Keploy ist ein Open-Source-Tool zur Umwandlung von Benutzerverkehr in Testfälle und Datenstubs. Mehr dazu <a href='https://keploy.io/'>hier</a>.</p>"
Liner.ai,Assess,Tools,False,"<p>Liner.ai erstellt Klassifikationsmodelle aus Ihren Daten. Mehr dazu <a href='https://liner.ai/'>hier</a>.</p>"
Phind,Trial,Tools,False,"<p>Phind ist eine LLM-gestützte Suchmaschine für Entwickler und technische Fragen. Mehr dazu <a href='https://phind.com/'>hier</a>.</p>"
Promptable.ai,Assess,Tools,False,"<p>Promptable.ai ist der ultimative Arbeitsbereich für Prompt Engineering. Mehr dazu <a href='https://promptable.ai/'>hier</a>.</p>"
Suppress.js,Assess,Tools,False,"<p>Suppress.js unterstützt beim Aufbau oder der Erweiterung von Backends mit AI. Mehr dazu <a href='https://suppress.js/'>hier</a>.</p>"
Dystr,Assess,Tools,False,"<p>Dystr bietet AI-gestützte Analyse und Cloud-Runtime. Mehr dazu <a href='https://dystr.com/'>hier</a>.</p>"
GitPoet,Trial,Tools,False,"<p>GitPoet generiert Git-Commit-Nachrichten basierend auf Ihren Änderungen und bietet eine VSCode-Erweiterung. Mehr dazu <a href='https://gitpoet.com/'>hier</a>.</p>"
AskCommand,Trial,Tools,False,"<p>AskCommand generiert automatisch Unix-Befehle aus Text. Mehr dazu <a href='https://askcommand.com/'>hier</a>.</p>"
Shotstack Workflows,Assess,Tools,False,"<p>Shotstack Workflows ist ein No-Code-Automatisierungs-Workflow-Tool zum Aufbau von generativen AI-Media-Anwendungen. Mehr dazu <a href='https://shotstack.io/'>hier</a>.</p>"
text-generator.io,Assess,Tools,False,"<p>text-generator.io ist ein Open-Source-Tool für Vision-Sprachmodelle und Webcrawler zur Verarbeitung von Links in Eingabeaufforderungen. Mehr dazu <a href='https://text-generator.io/'>hier</a>.</p>"
Marblism,Assess,Tools,False,"<p>Marblism generiert ein SaaS-Boilerplate aus einer Eingabeaufforderung. Mehr dazu <a href='https://marblism.com/'>hier</a>.</p>"
Code to Flow,Trial,Tools,False,"<p>Code to Flow visualisiert, analysiert und versteht den Codefluss. Wandelt Code in interaktive Flussdiagramme um und vereinfacht komplexe Logik sofort. Mehr dazu <a href='https://codetoflow.com/'>hier</a>.</p>"
SinglebaseCloud,Assess,Tools,False,"<p>SinglebaseCloud ist eine AI-gestützte Backend-Plattform mit Vector DB, DocumentDB, Auth und mehr zur Beschleunigung der App-Entwicklung. Mehr dazu <a href='https://singlebasecloud.com/'>hier</a>.</p>"
Interview Solver,Trial,Tools,False,"<p>Interview Solver unterstützt mit einem AI-Copilot bei Live-Coding-Interviews. Mehr dazu <a href='https://interviewsolver.com/'>hier</a>.</p>"
Floom,Assess,Tools,False,"<p>Floom ist ein AI-Gateway und Marktplatz für Entwickler und ermöglicht die nahtlose Integration von AI-Funktionen in Produkte. Mehr dazu <a href='https://floom.com/'>hier</a>.</p>"
StartKit.AI,Assess,Tools,False,"<p>StartKit.AI bietet ein Boilerplate für den schnellen Aufbau von AI-Produkten. Mehr dazu <a href='https://startkit.ai/'>hier</a>.</p>"
<!-- Gaming & 3D Tools //-->
Imagine 3D (by Luma AI),Assess,Tools,False,"<p>Imagine 3D von Luma AI ist ein Tool zur Prototypenentwicklung von 3D-Objekten mit Text. Mehr dazu <a href='https://imagine3d.lumai.ai/'>hier</a>.</p>"
move.ai,Trial,Tools,False,"<p>move.ai bietet AI-gestützte Echtzeit-Bewegungserfassung. Mehr dazu <a href='https://move.ai/'>hier</a>.</p>"
Scenario,Trial,Tools,False,"<p>Scenario erstellt AI-generierte Spielressourcen. Mehr dazu <a href='https://scenario.gg/'>hier</a>.</p>"
Inworld AI,Assess,Tools,False,"<p>Inworld AI ermöglicht die Erstellung beliebiger Charaktere. Mehr dazu <a href='https://inworld.ai/'>hier</a>.</p>"
<!-- Sales & Marketing //-->
Choppity.com,Assess,Tools,False,"<p>Choppity.com verwandelt lange Podcast-Videos sofort in kurze TikToks. Mehr dazu <a href='https://choppity.com/'>hier</a>.</p>"
copy.ai,Adopt,Tools,False,"<p>copy.ai ist ein AI-Content-Generator. Mehr dazu <a href='https://www.copy.ai/'>hier</a>.</p>"
Jasper,Adopt,Tools,False,"<p>Jasper ist ein AI-Content-Ersteller. Mehr dazu <a href='https://www.jasper.ai/'>hier</a>.</p>"
Magic Summaries by Sybill,Trial,Tools,False,"<p>Magic Summaries von Sybill erstellt automatische, genaue Zusammenfassungen von Verkaufsgesprächen mithilfe von AI. Mehr dazu <a href='https://www.sybill.ai/magic-summaries'>hier</a>.</p>"
Peech,Assess,Tools,False,"<p>Peech ist ein Video-Content-Ersteller für Content-Marketing. Mehr dazu <a href='https://www.peech.ai/'>hier</a>.</p>"
Headlines,Assess,Tools,False,"<p>Headlines generiert Schlagzeilen für Content-Marketing. Mehr dazu <a href='https://headlines.ai/'>hier</a>.</p>"
PressPulse AI,Assess,Tools,False,"<p>PressPulse AI bietet personalisierte Medienabdeckung-Leads jeden Morgen. Mehr dazu <a href='https://presspulse.ai/'>hier</a>.</p>"
Taplio,Adopt,Tools,False,"<p>Taplio ist das All-in-One, AI-gestützte LinkedIn-Tool. Mehr dazu <a href='https://taplio.com/'>hier</a>.</p>"
Clipwing,Assess,Tools,False,"<p>Clipwing ist ein Tool zum Schneiden langer Videos in Dutzende kurze Clips. Mehr dazu <a href='https://clipwing.com/'>hier</a>.</p>"
Recast Studio,Assess,Tools,False,"<p>Recast Studio ist ein AI-gestützter Podcast-Marketing-Assistent. Mehr dazu <a href='https://recast.studio/'>hier</a>.</p>"
LinkActions,Trial,Tools,False,"<p>LinkActions ist ein AI-gestützter Assistent für interne Links. Mehr dazu <a href='https://linkactions.com/'>hier</a>.</p>"
TrollyAI,Trial,Tools,False,"<p>TrollyAI erstellt professionelle SEO-Artikel doppelt so schnell. Mehr dazu <a href='https://trolly.ai/'>hier</a>.</p>"
SEOByAI,Assess,Tools,False,"<p>SEOByAI hilft, schneller auf Google zu ranken, mit kostenlosen AI-SEO-Tools. Mehr dazu <a href='https://seoby.ai/'>hier</a>.</p>"
Dittto.ai,Assess,Tools,False,"<p>Dittto.ai optimiert Ihre Hero-Text mit AI, die auf den besten SaaS-Websites trainiert wurde. Mehr dazu <a href='https://dittto.ai/'>hier</a>.</p>"
Persuva,Assess,Tools,False,"<p>Persuva ist eine AI-gestützte Plattform zur Erstellung überzeugender, hoch konvertierender Werbetexte in großem Maßstab. Mehr dazu <a href='https://persuva.com/'>hier</a>.</p>"
Jack AI,Assess,Tools,False,"<p>Jack AI ist ein Marketing-Textschreiber-Tool. Mehr dazu <a href='https://jackai.com/'>hier</a>.</p>"
CopyTruck,Assess,Tools,False,"<p>CopyTruck ist ein AI-Tool zum organischen Wachstum auf LinkedIn. Mehr dazu <a href='https://copytruck.com/'>hier</a>.</p>"
markero,Assess,Tools,False,"<p>markero macht Marketing einfach. Mehr dazu <a href='https://markero.com/'>hier</a>.</p>"
Podify.io,Assess,Tools,False,"<p>Podify.io nutzt AI und Community, um auf LinkedIn zu wachsen. Mehr dazu <a href='https://podify.io/'>hier</a>.</p>"
BlogFox,Trial,Tools,False,"<p>BlogFox generiert beeindruckende Blogs aus einem YouTube-Video oder SEO-Schlüsselwörtern in großem Maßstab. Mehr dazu <a href='https://blogfox.com/'>hier</a>.</p>"
<!-- Productivity //-->
GPT for Sheets and Docs,Adopt,Tools,False,"<p>GPT for Sheets and Docs integriert GPT in Ihre täglichen Werkzeuge. Mehr dazu <a href='https://workspace.google.com/marketplace/app/gpt_for_sheets_and_docs/30833799211'>hier</a>.</p>"
Lex,Assess,Tools,False,"<p>Lex ist ein webbasiertes AI-Schreibtool. Mehr dazu <a href='https://lex.page/'>hier</a>.</p>"
Smart Write & Smart Edit (by Mem),Assess,Tools,False,"<p>Smart Write & Smart Edit von Mem ist ein wissensbewusster AI-Schreiber. Mehr dazu <a href='https://mem.ai/'>hier</a>.</p>"
DraftLab,Trial,Tools,False,"<p>DraftLab ist ein Gmail-Copilot. Mehr dazu <a href='https://draftlab.ai/'>hier</a>.</p>"
Adept,Assess,Tools,False,"<p>Adept bietet nützliche allgemeine Intelligenz. Mehr dazu <a href='https://adept.ai/'>hier</a>.</p>"
AutoRegEx,Assess,Tools,False,"<p>AutoRegEx konvertiert Text zu Regex mithilfe von AI. Mehr dazu <a href='https://autoreqex.com/'>hier</a>.</p>"
NotionAI,Adopt,Tools,False,"<p>NotionAI ist ein AI-Schreibtool. Mehr dazu <a href='https://www.notion.so/'>hier</a>.</p>"
Dystr,Assess,Tools,False,"<p>Dystr bietet AI-gestützte Analyse und Cloud-Runtime. Mehr dazu <a href='https://dystr.com/'>hier</a>.</p>"
Plus AI for Google Slides,Adopt,Tools,False,"<p>Plus AI für Google Slides erstellt AI-gestützte Präsentationen in Google Slides. Mehr dazu <a href='https://workspace.google.com/marketplace/app/plus_ai_for_google_slides/422958326484'>hier</a>.</p>"
Podwise,Assess,Tools,False,"<p>Podwise ist die führende AI-Lern-App für Podcast-Hörer. Mehr dazu <a href='https://podwise.ai/'>hier</a>.</p>"
Documind AI,Trial,Tools,False,"<p>Documind AI ermöglicht es, mit PDFs mithilfe von GPT-4 zu chatten. Mehr dazu <a href='https://documind.ai/'>hier</a>.</p>"
guidde,Trial,Tools,False,"<p>guidde erstellt magisch Videodokumentationen mit AI. Mehr dazu <a href='https://guidde.com/'>hier</a>.</p>"
Kolega,Assess,Tools,False,"<p>Kolega bietet AI-gestützte Mitarbeiter für Slack und Teams. Mehr dazu <a href='https://kolega.ai/'>hier</a>.</p>"
AI Character for GPT,Assess,Tools,False,"<p>AI Character for GPT ist eine kostenlose Chrome-Erweiterung, die mit einem Klick AI-Chatbots kuratiert, einschließlich ChatGPT und Google Bard, um AI-Antworten zu verbessern. Mehr dazu <a href='https://aicharacter.app/'>hier</a>.</p>"
Elephas,Trial,Tools,False,"<p>Elephas ist ein persönlicher AI-Schreibassistent für den Mac. Mehr dazu <a href='https://elephas.app/'>hier</a>.</p>"
Lemmy,Assess,Tools,False,"<p>Lemmy ist ein autonomer AI-Assistent für die Arbeit. Mehr dazu <a href='https://lemmy.ai/'>hier</a>.</p>"
Google Sheets Formula Generator,Trial,Tools,False,"<p>Google Sheets Formula Generator hilft, frustrierende Formeln in Google Sheets zu vergessen. Mehr dazu <a href='https://sheetformula.com/'>hier</a>.</p>"
CreateEasily,Assess,Tools,False,"<p>CreateEasily ist ein kostenloses Sprach-zu-Text-Tool für Content-Ersteller, das Audio- und Videodateien bis zu 2 GB genau transkribiert. Mehr dazu <a href='https://createeasily.com/'>hier</a>.</p>"
aiPDF,Assess,Tools,False,"<p>aiPDF ist der fortschrittlichste AI-Dokumentenassistent. Mehr dazu <a href='https://aipdf.com/'>hier</a>.</p>"
Myriad,Assess,Tools,False,"<p>Myriad erstellt und optimiert AI-Inhalte für das Schreiben von allem, von langen Beiträgen bis hin zu Anzeigen und E-Mails, durch Mischen und Anpassen von Regeln. Mehr dazu <a href='https://myriad.ai/'>hier</a>.</p>"
Emilio,Trial,Tools,False,"<p>Emilio priorisiert und automatisiert Ihre E-Mails, um 60% Ihrer Zeit zu sparen. Mehr dazu <a href='https://emilio.ai/'>hier</a>.</p>"
Chatpdf.so,Trial,Tools,False,"<p>Chatpdf.so ist ein AI-gestütztes Chat-Tool, das für Gespräche mit PDFs entwickelt wurde. Mehr dazu <a href='https://chatpdf.so/'>hier</a>.</p>"
ReportGPT,Trial,Tools,False,"<p>ReportGPT hebt Ihre Dokumenterstellung auf ein neues Niveau, indem es die Leistung von AI nutzt und eine nahtlose Erstellung von Dokumenten ermöglicht. Mehr dazu <a href='https://reportgpt.com/'>hier</a>.</p>"
Recurrr,Assess,Tools,False,"<p>Recurrr ermöglicht das Versenden wiederkehrender E-Mails. Mehr dazu <a href='https://recurrr.com/'>hier</a>.</p>"
<!-- Search Engine Tools //-->
GoodListen,Assess,Tools,False,"<p>GoodListen hilft Ihnen, Ihren nächsten Podcast mit AI zu finden. Eine AI-gesteuerte App zur Audioverständnis. Mehr dazu <a href='https://goodlisten.ai/'>hier</a>.</p>"
Ask Anything (by Perplexity),Assess,Tools,False,"<p>Ask Anything von Perplexity kombiniert große Sprachmodelle mit Suchmaschinen zur Beantwortung von Fragen. Mehr dazu <a href='https://www.perplexity.ai/'>hier</a>.</p>"
Bird SQL (by Perplexity),Assess,Tools,False,"<p>Bird SQL von Perplexity bietet AI-gestützte Suche für Twitters Soziales Graph. Mehr dazu <a href='https://www.perplexity.ai/bird-sql'>hier</a>.</p>"
Metaphor,Assess,Tools,False,"<p>Metaphor ist ein System zur Internetsuche mit großen Sprachmodellen. Mehr dazu <a href='https://metaphor.systems/'>hier</a>.</p>"
Rewind,Assess,Tools,False,"<p>Rewind ist eine Suchmaschine für Ihr Leben. Mehr dazu <a href='https://rewind.ai/'>hier</a>.</p>"
Tasmania,Trial,Tools,False,"<p>Tasmania ist eine YouTube-Video-Suchmaschine. Mehr dazu <a href='https://tasmania.ai/'>hier</a>.</p>"
You,Assess,Tools,False,"<p>You ist eine AI-gestützte Suchmaschine. Mehr dazu <a href='https://you.com/'>hier</a>.</p>"
muse.ai,Assess,Tools,False,"<p>muse.ai bietet Video-Inhalts-Suche und einen Konversationsassistenten. Mehr dazu <a href='https://muse.ai/'>hier</a>.</p>"
<!-- Geospatial //-->
Picterra,Trial,Tools,False,"<p>Picterra ist eine AI-gestützte Geospatial-Softwareplattform zur Merkmal- und Änderungsdetektion in Satelliten-, Drohnen- und Luftbildern. Mehr dazu <a href='https://picterra.ch/'>hier</a>.</p>"
<!-- Customer Support //-->
SiteGPT,Trial,Tools,False,"<p>SiteGPT macht AI zu Ihrem Experten für Kundensupport. Mehr dazu <a href='https://sitegpt.com/'>hier</a>.</p>"
GPTHelp.ai,Trial,Tools,False,"<p>GPTHelp.ai bietet ChatGPT für Ihre Website / AI-Kundensupport-Chatbot. Mehr dazu <a href='https://gpthelp.ai/'>hier</a>.</p>"
SiteSpeakAI,Trial,Tools,False,"<p>SiteSpeakAI automatisiert Ihren Kundensupport mit AI. Mehr dazu <a href='https://sitespeakai.com/'>hier</a>.</p>"
Dear AI,Trial,Tools,False,"<p>Dear AI verbessert Kundenservices und steigert Verkäufe mit AI-Chatbot. Mehr dazu <a href='https://dear.ai/'>hier</a>.</p>"
Inline Help,Assess,Tools,False,"<p>Inline Help beantwortet Kundenfragen, bevor sie gestellt werden. Mehr dazu <a href='https://inlinehelp.com/'>hier</a>.</p>"
Chat Thing,Assess,Tools,False,"<p>Chat Thing ermöglicht das Erstellen von AI-Chatbots in Minuten. Mehr dazu <a href='https://chatthing.ai/'>hier</a>.</p>"
Owlbot,Assess,Tools,False,"<p>Owlbot ist ein AI-Support-Agent. Mehr dazu <a href='https://owlbot.ai/'>hier</a>.</p>"
<!-- Phone Calls //-->
AICaller.io,Assess,Tools,False,"<p>AICaller.io ist eine einfach zu bedienende automatisierte Massenanruflösung, die die neueste generative AI-Technologie verwendet, um Anrufe für Sie zu tätigen und Aufgaben zu erledigen. Sie kann Dinge wie Lead-Qualifizierung, Datenerfassung über Telefonanrufe und vieles mehr erledigen. Sie bietet eine leistungsstarke API, niedrige Preise und eine kostenlose Testversion. Mehr dazu <a href='https://aicaller.io/'>hier</a>.</p>"
<!-- Others //-->
Never Jobless LinkedIn Message Generator,Assess,Tools,False,"<p>Maximieren Sie Ihre Interviewchancen mit AI-gestützten LinkedIn-Nachrichten. Mehr dazu <a href='https://neverjobless.com/'>hier</a>.</p>"
Aispect,Assess,Tools,False,"<p>Eine neue Möglichkeit, Veranstaltungen zu erleben. Mehr dazu <a href='https://aispect.com/'>hier</a>.</p>"
PromptPal,Trial,Tools,False,"<p>Durchsuchen Sie Prompts und Bots und nutzen Sie sie dann mit Ihrem bevorzugten AI-Tool – alles an einem Ort. Mehr dazu <a href='https://promptpal.com/'>hier</a>.</p>"
WebscrapeAI,Trial,Tools,False,"<p>Scrapen Sie jede Website ohne Code mit AI. Mehr dazu <a href='https://webscrape.ai/'>hier</a>.</p>"
Interviews Chat,Assess,Tools,False,"<p>Ihr persönlicher Interview-Vorbereitungs- und Copilot. Mehr dazu <a href='https://interviews.chat/'>hier</a>.</p>"
scale.jobs,Assess,Tools,False,"<p>Stellen Sie einen menschlichen Karriereassistenten für Ihre Jobsuche ein. Mehr dazu <a href='https://scale.jobs/'>hier</a>.</p>"
AI Wedding Toast,Assess,Tools,False,"<p>Generieren Sie eine personalisierte Hochzeitsrede mit AI. Mehr dazu <a href='https://aiweddingtoast.com/'>hier</a>.</p>"
Taskbase,Assess,Tools,False,"<p>Virtuelle Assistenten verpackt mit AI-gestützter Software. Mehr dazu <a href='https://taskbase.com/'>hier</a>.</p>"
fynk,Assess,Tools,False,"<p>AI-gestützte Vertragsmanagement-Software. Mehr dazu <a href='https://fynk.com/'>hier</a>.</p>"
LooksMax AI,Assess,Tools,False,"<p>Finden Sie heraus, wie attraktiv Sie mit AI sind. Mehr dazu <a href='https://looksmax.ai/'>hier</a>.</p>"
STRProfitMap,Trial,Tools,False,"<p>Datenanalytik SaaS für Airbnb-Investoren. Mehr dazu <a href='https://strprofitmap.com/'>hier</a>.</p>"
